company_name,company_name_short,position_name,workYear,education,jobNature,salary,city,financeStage,industryField,positionAdvantage,companyLabelList,district,positionLables,businessZones,firstType,secondType,thirdType
平安科技（深圳）有限公司,平安科技,11217M-资深python开发（平安云）,5-10年,本科,全职,18k-30k,深圳,不需要融资,金融,"五险一金,绩效奖金","六险一金, 扁平化管理, 丰厚年终, 丰富技术交流",南山区,"云计算, 运维, 系统运维","科技园, 南山医院, 大冲",开发|测试|运维类,运维,"运维, 系统运维"
富途网络科技（深圳）有限公司,富途,银行业务后台开发工程师-Python,1-3年,不限,全职,14k-28k,深圳,上市公司,金融,发展空间大 核心岗位 团队技术好,"年底双薪, 腾讯系, 互联网金融, 年度体检",南山区,Python,"科技园, 西丽, 大冲",开发|测试|运维类,后端开发,Python
深圳松茂科技有限公司,松茂科技,初级python开发工程师,1-3年,大专,全职,7k-10k,深圳,不需要融资,移动互联网,5天7小时，年终奖，境外旅游，技术分享,"朝十晚六, 周末双休, 年轻团队, 扁平管理",宝安区,"PHP, Python",新安,开发|测试|运维类,后端开发,"PHP, Python"
深圳市明源云客电子商务有限公司,明源云,Python高级开发工程师,3-5年,本科,全职,15k-30k,深圳,上市公司,电商,"精英团队,技术驱动,极客氛围,行业独角兽","高额六险一金, 年底双薪, 绩效奖金, N项经费",南山区,"Hadoop, PHP, Python","深圳湾, 科技园",开发|测试|运维类,后端开发,"Hadoop, PHP, Python"
上海海万信息科技股份有限公司,海万科技,Python 数据分析,3-5年,大专,全职,13k-25k,深圳,不需要融资,"移动互联网,金融","最先进的技,大项目,交通便利,环境好",,福田区,"大数据, 金融, 可视化, 数据分析","亮马桥, 三元桥, 燕莎",产品|需求|项目类,数据分析,"可视化, 数据分析"
北京国双科技有限公司,Gridsum 国双,资深python研发工程师,5-10年,本科,全职,20k-40k,深圳,上市公司,"数据服务,企业服务",上市公司 发挥空间 折腾技术 牛人多,"节日礼物, 年底双薪, 带薪年假, 午餐补助",福田区,"大数据, 云计算, Python","岗厦, 莲花三村, 莲花二村",开发|测试|运维类,后端开发,Python
深圳华秋电子有限公司,深圳华秋电子有限公司,Python高级开发/爬虫工程师,3-5年,本科,全职,15k-18k,深圳,B轮,"移动互联网,电商","公司背景好,福利好,实力雄厚","节日礼物, 年底双薪, 专项奖金, 带薪年假",福田区,"爬虫, 爬虫工程师, 网络爬虫, Python",上梅林,开发|测试|运维类,后端开发,"爬虫, 爬虫工程师, 网络爬虫, Python"
深圳市立新出行信息技术有限公司,立新出行,Python后台开发工程师,3-5年,本科,全职,25k-35k,深圳,不需要融资,"电商,消费生活","周末双休,五险一金,自助零食,领导好","年底双薪, 股票期权, 带薪年假, 绩效奖金",宝安区,Python,新安,开发|测试|运维类,后端开发,Python
深圳市微课科技有限公司,荔枝微课,python运维开发工程师,1-3年,本科,全职,10k-15k,深圳,A轮,"移动互联网,教育","双休,年轻团队,学习机会多","美女多, 弹性工作, 扁平管理, 午餐补助",南山区,"运维, 信息安全","深圳湾, 后海, 科技园",开发|测试|运维类,运维,"运维, 信息安全"
翼果（深圳）科技有限公司,翼果科技,Python后台工程师(科技园),1-3年,本科,全职,10k-20k,深圳,天使轮,"大数据,互联网,移动互联网","技术氛围浓厚,成长期,机会多","绩效奖金, 岗位晋升, 扁平管理, 领导好",南山区,"Java, Python","大冲, 科技园",开发|测试|运维类,后端开发,"Java, Python"
深圳点猫科技有限公司,编程猫,课程设计（python）,1年以下,本科,全职,10k-15k,深圳,B轮,"移动互联网,教育",风口行业，发展空间大，福利诱人,"专项奖金, 股票期权, 岗位晋升, 年度旅游",宝安区,教育,,教育|培训,培训,
深圳市木槿科技有限公司,木槿科技,python数据分析,1-3年,本科,全职,10k-18k,深圳,不需要融资,数据服务,AI金融科技、发展前景大、股东方实力雄厚,"扁平管理, 技能培训, 岗位晋升, Bat团队",南山区,"大数据, 互联网金融, Python","科技园, 大冲",开发|测试|运维类,后端开发,Python
深圳链条科技有限公司,链条科技,Python后端,1-3年,不限,全职,7k-12k,深圳,不需要融资,"移动互联网,广告营销","创业公司,五险一金,期权股权,加班补贴","绩效奖金, 股票期权, 五险一金, 加班补贴",南山区,"工具软件, 后端, 服务器端, 客户端, 平台","科技园, 西丽, 大冲",开发|测试|运维类,后端开发,"后端, 服务器端, 客户端, 平台"
深圳市悦动天下科技有限公司,悦动,python后台开发工程师,3-5年,本科,全职,15k-25k,深圳,C轮,"移动互联网,社交",C轮独角兽；亿级用户量；每日下午茶,"带薪年假, 绩效奖金, 弹性工作, 年度旅游",南山区,"服务器端, 后端, Python","科技园, 大冲",开发|测试|运维类,后端开发,"服务器端, 后端, Python"
深圳市一面网络技术有限公司,一面数据,Python爬虫工程师,不限,本科,全职,10k-18k,深圳,A轮,"移动互联网,数据服务",大数据人工智能；名校系大牛；技术氛围浓,"技能培训, 海归精英团队, Geek分享, 绩效奖金",南山区,大数据,,开发|测试|运维类,后端开发,
